census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,03,Waikato Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,03,Waikato Region,Household composition unidentifiable,Not stated,3912,738,570,759,807,618,228,42,51,3819,96
2023,04,Bay of Plenty Region,Total - household composition,Total - total household income,33333,4521,3114,4650,5976,6912,5349,1575,696,32799,537
2023,04,Bay of Plenty Region,One-family household (with or without other people),Total - total household income,19434,1707,1320,2358,3630,4722,3900,1176,423,19239,195
2023,04,Bay of Plenty Region,Two-family household (with or without other people),Total - total household income,1266,162,96,141,204,258,255,84,51,1251,18
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),Total - total household income,75,15,9,6,12,9,9,6,9,75,0
2023,04,Bay of Plenty Region,Other multi-person household,Total - total household income,2583,309,222,282,444,582,480,141,105,2562,21
2023,04,Bay of Plenty Region,One-person household,Total - total household income,7242,1839,1146,1464,1200,831,378,96,72,7026,216
2023,04,Bay of Plenty Region,Total stated - household composition,Total - total household income,30600,4032,2793,4248,5493,6402,5022,1503,660,30153,444
2023,04,Bay of Plenty Region,Household composition unidentifiable,Total - total household income,2733,492,324,402,486,513,327,69,33,2646,90
2023,04,Bay of Plenty Region,Total - household composition,"$20,000 or less",2661,774,312,423,357,375,243,75,45,2604,54
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$20,000 or less",1062,177,72,153,165,234,174,54,24,1050,9
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$20,000 or less",21,6,0,0,3,3,6,0,0,21,0
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,04,Bay of Plenty Region,Other multi-person household,"$20,000 or less",105,21,12,15,24,15,12,3,6,102,0
2023,04,Bay of Plenty Region,One-person household,"$20,000 or less",1461,564,228,255,168,120,51,18,18,1422,39
2023,04,Bay of Plenty Region,Total stated - household composition,"$20,000 or less",2649,768,312,423,357,372,243,75,45,2598,51
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$20,000 or less",12,3,0,0,0,3,0,3,0,9,3
2023,04,Bay of Plenty Region,Total - household composition,"$20,001-$30,000",2757,915,411,453,390,291,153,36,18,2664,93
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$20,001-$30,000",774,144,75,102,162,162,99,18,9,768,6
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$20,001-$30,000",18,3,3,3,0,3,3,0,0,15,0
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$20,001-$30,000",3,0,0,0,0,0,0,3,0,3,0
2023,04,Bay of Plenty Region,Other multi-person household,"$20,001-$30,000",69,21,12,3,6,9,3,3,3,66,0
2023,04,Bay of Plenty Region,One-person household,"$20,001-$30,000",1890,741,321,345,219,120,48,12,6,1806,84
2023,04,Bay of Plenty Region,Total stated - household composition,"$20,001-$30,000",2754,912,411,453,390,291,153,36,18,2664,93
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$20,001-$30,000",3,0,0,0,0,0,0,0,0,3,0
2023,04,Bay of Plenty Region,Total - household composition,"$30,001-$50,000",4677,855,576,900,876,807,414,96,42,4566,111
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$30,001-$50,000",2574,435,210,387,513,570,315,75,18,2520,54
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$30,001-$50,000",30,6,3,3,3,9,3,0,0,30,0
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$30,001-$50,000",3,0,0,0,0,0,0,0,3,3,0
2023,04,Bay of Plenty Region,Other multi-person household,"$30,001-$50,000",291,69,42,51,48,36,27,3,6,285,6
2023,04,Bay of Plenty Region,One-person household,"$30,001-$50,000",1770,339,315,459,306,192,69,18,18,1716,54
2023,04,Bay of Plenty Region,Total stated - household composition,"$30,001-$50,000",4662,849,573,900,873,804,414,96,42,4551,111
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$30,001-$50,000",12,3,0,3,0,3,0,0,0,12,0
2023,04,Bay of Plenty Region,Total - household composition,"$50,001-$70,000",4098,504,417,648,876,894,546,102,57,4047,54
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$50,001-$70,000",2598,288,195,363,546,639,423,72,39,2562,36
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$50,001-$70,000",72,21,3,9,12,12,12,3,0,72,0
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$50,001-$70,000",3,0,0,0,0,0,0,0,0,3,0
2023,04,Bay of Plenty Region,Other multi-person household,"$50,001-$70,000",345,69,39,48,72,69,36,9,3,342,3
2023,04,Bay of Plenty Region,One-person household,"$50,001-$70,000",1050,114,180,222,240,171,72,15,12,1035,15
2023,04,Bay of Plenty Region,Total stated - household composition,"$50,001-$70,000",4065,492,417,642,870,891,543,99,57,4014,51
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$50,001-$70,000",33,15,0,6,3,6,0,3,0,36,0
2023,04,Bay of Plenty Region,Total - household composition,"$70,001-$100,000",5508,495,471,786,1206,1332,876,207,78,5457,54
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$70,001-$100,000",3969,315,315,540,837,1011,705,165,42,3930,39
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$70,001-$100,000",171,30,9,27,36,33,21,9,3,171,0
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$70,001-$100,000",3,0,0,0,0,0,0,0,0,3,0
2023,04,Bay of Plenty Region,Other multi-person household,"$70,001-$100,000",534,54,51,72,126,123,69,21,21,534,3
2023,04,Bay of Plenty Region,One-person household,"$70,001-$100,000",720,60,87,138,186,150,66,12,9,711,9
2023,04,Bay of Plenty Region,Total stated - household composition,"$70,001-$100,000",5397,459,462,780,1185,1314,864,204,78,5346,51
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$70,001-$100,000",111,33,9,9,21,21,12,0,0,108,3
2023,04,Bay of Plenty Region,Total - household composition,"$100,001-$150,000",6501,390,393,750,1233,1686,1485,396,114,6447,54
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$100,001-$150,000",5085,228,306,597,966,1344,1209,315,87,5052,33
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$100,001-$150,000",342,54,27,33,66,69,66,18,9,336,3
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$100,001-$150,000",6,3,0,3,0,3,0,0,0,6,0
2023,04,Bay of Plenty Region,Other multi-person household,"$100,001-$150,000",624,42,39,60,105,171,138,45,12,618,9
2023,04,Bay of Plenty Region,One-person household,"$100,001-$150,000",255,12,12,36,57,66,54,12,6,249,6
2023,04,Bay of Plenty Region,Total stated - household composition,"$100,001-$150,000",6312,342,381,723,1197,1647,1473,390,111,6261,51
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$100,001-$150,000",189,45,9,27,39,36,15,6,3,186,0
2023,04,Bay of Plenty Region,Total - household composition,"$150,001-$200,000",3030,165,162,222,456,741,822,327,120,3012,18
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$150,001-$200,000",2175,81,96,153,327,546,624,270,75,2166,9
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$150,001-$200,000",297,27,33,27,48,60,63,18,15,294,3
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$150,001-$200,000",21,3,0,3,6,0,6,3,3,21,0
2023,04,Bay of Plenty Region,Other multi-person household,"$150,001-$200,000",345,24,15,24,39,87,108,24,24,345,0
2023,04,Bay of Plenty Region,One-person household,"$150,001-$200,000",60,0,0,6,12,15,9,9,0,57,3
2023,04,Bay of Plenty Region,Total stated - household composition,"$150,001-$200,000",2898,135,147,210,435,711,810,324,117,2886,15
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$150,001-$200,000",129,30,15,12,21,30,15,3,3,126,3
2023,04,Bay of Plenty Region,Total - household composition,"$200,001 or more",1944,93,90,126,201,390,546,279,195,1923,24
2023,04,Bay of Plenty Region,One-family household (with or without other people),"$200,001 or more",1194,42,48,66,117,225,351,201,135,1185,9
2023,04,Bay of Plenty Region,Two-family household (with or without other people),"$200,001 or more",315,18,18,36,36,66,75,42,21,309,6
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),"$200,001 or more",36,3,6,3,6,9,6,3,3,36,0
2023,04,Bay of Plenty Region,Other multi-person household,"$200,001 or more",273,6,12,6,24,69,87,33,33,273,0
2023,04,Bay of Plenty Region,One-person household,"$200,001 or more",30,6,3,3,6,3,6,0,3,30,3
2023,04,Bay of Plenty Region,Total stated - household composition,"$200,001 or more",1854,75,87,120,186,372,528,276,192,1836,18
2023,04,Bay of Plenty Region,Household composition unidentifiable,"$200,001 or more",87,18,6,6,12,21,18,0,0,84,3
2023,04,Bay of Plenty Region,Total - household composition,Total stated - total household income,31179,4188,2841,4311,5592,6519,5088,1515,669,30720,462
2023,04,Bay of Plenty Region,One-family household (with or without other people),Total stated - total household income,19434,1707,1320,2358,3630,4722,3900,1176,423,19239,195
2023,04,Bay of Plenty Region,Two-family household (with or without other people),Total stated - total household income,1266,162,96,141,204,258,255,84,51,1251,18
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),Total stated - total household income,75,15,9,6,12,9,9,6,9,75,0
2023,04,Bay of Plenty Region,Other multi-person household,Total stated - total household income,2583,309,222,282,444,582,480,141,105,2562,21
2023,04,Bay of Plenty Region,One-person household,Total stated - total household income,7242,1839,1146,1464,1200,831,378,96,72,7026,216
2023,04,Bay of Plenty Region,Total stated - household composition,Total stated - total household income,30600,4032,2793,4248,5493,6402,5022,1503,660,30153,444
2023,04,Bay of Plenty Region,Household composition unidentifiable,Total stated - total household income,582,153,48,60,99,120,63,15,6,564,15
2023,04,Bay of Plenty Region,Total - household composition,Not stated,2154,339,276,342,387,396,261,57,27,2079,75
2023,04,Bay of Plenty Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,04,Bay of Plenty Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,04,Bay of Plenty Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,04,Bay of Plenty Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,04,Bay of Plenty Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,04,Bay of Plenty Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,04,Bay of Plenty Region,Household composition unidentifiable,Not stated,2154,339,276,342,387,396,261,57,27,2079,75
2023,05,Gisborne Region,Total - household composition,Total - total household income,5799,1722,834,1056,927,618,351,123,78,5706,96
2023,05,Gisborne Region,One-family household (with or without other people),Total - total household income,3228,819,420,570,615,426,237,72,42,3198,30
2023,05,Gisborne Region,Two-family household (with or without other people),Total - total household income,309,96,36,39,60,42,24,6,6,306,3
2023,05,Gisborne Region,Three or more family household (with or without other people),Total - total household income,27,9,0,6,3,6,0,0,0,27,0
2023,05,Gisborne Region,Other multi-person household,Total - total household income,429,123,54,84,69,39,39,12,9,423,6
2023,05,Gisborne Region,One-person household,Total - total household income,1290,519,237,243,126,60,30,18,18,1248,42
2023,05,Gisborne Region,Total stated - household composition,Total - total household income,5280,1566,744,942,870,573,330,111,72,5205,75
2023,05,Gisborne Region,Household composition unidentifiable,Total - total household income,519,156,87,117,60,45,24,12,9,501,21
2023,05,Gisborne Region,Total - household composition,"$20,000 or less",549,255,75,87,60,27,15,12,9,540,9
2023,05,Gisborne Region,One-family household (with or without other people),"$20,000 or less",231,99,30,36,30,15,12,9,3,228,3
2023,05,Gisborne Region,Two-family household (with or without other people),"$20,000 or less",6,3,0,0,0,0,3,0,0,6,0
2023,05,Gisborne Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Other multi-person household,"$20,000 or less",27,12,3,3,9,3,0,0,0,27,0
2023,05,Gisborne Region,One-person household,"$20,000 or less",285,141,45,48,24,9,3,3,6,279,9
2023,05,Gisborne Region,Total stated - household composition,"$20,000 or less",549,255,75,87,60,27,15,12,9,540,9
2023,05,Gisborne Region,Household composition unidentifiable,"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Total - household composition,"$20,001-$30,000",594,276,87,90,75,24,15,6,6,576,15
2023,05,Gisborne Region,One-family household (with or without other people),"$20,001-$30,000",189,69,30,30,36,18,12,0,3,189,0
2023,05,Gisborne Region,Two-family household (with or without other people),"$20,001-$30,000",6,3,3,0,0,0,0,0,0,6,0
2023,05,Gisborne Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Other multi-person household,"$20,001-$30,000",21,12,3,3,3,3,0,3,0,21,0
2023,05,Gisborne Region,One-person household,"$20,001-$30,000",375,198,57,57,36,3,3,3,3,363,15
2023,05,Gisborne Region,Total stated - household composition,"$20,001-$30,000",594,276,87,90,75,24,15,6,6,576,15
2023,05,Gisborne Region,Household composition unidentifiable,"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Total - household composition,"$30,001-$50,000",927,354,162,165,117,60,36,9,3,906,21
2023,05,Gisborne Region,One-family household (with or without other people),"$30,001-$50,000",531,201,81,90,81,42,18,6,3,528,6
2023,05,Gisborne Region,Two-family household (with or without other people),"$30,001-$50,000",18,9,3,0,0,0,6,0,0,18,0
2023,05,Gisborne Region,Three or more family household (with or without other people),"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Other multi-person household,"$30,001-$50,000",63,33,12,9,6,3,0,0,0,63,0
2023,05,Gisborne Region,One-person household,"$30,001-$50,000",312,108,69,66,27,18,12,3,0,300,15
2023,05,Gisborne Region,Total stated - household composition,"$30,001-$50,000",924,354,162,165,117,60,36,9,3,906,21
2023,05,Gisborne Region,Household composition unidentifiable,"$30,001-$50,000",3,0,0,0,0,0,0,0,0,3,0
2023,05,Gisborne Region,Total - household composition,"$50,001-$70,000",750,231,114,147,129,66,36,9,6,741,12
2023,05,Gisborne Region,One-family household (with or without other people),"$50,001-$70,000",480,147,57,90,96,48,24,6,3,471,6
2023,05,Gisborne Region,Two-family household (with or without other people),"$50,001-$70,000",27,15,3,3,0,0,3,0,0,27,0
2023,05,Gisborne Region,Three or more family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Other multi-person household,"$50,001-$70,000",57,21,9,15,6,6,0,0,0,60,0
2023,05,Gisborne Region,One-person household,"$50,001-$70,000",180,42,42,42,27,12,9,3,3,177,3
2023,05,Gisborne Region,Total stated - household composition,"$50,001-$70,000",747,228,111,147,129,66,36,9,6,735,9
2023,05,Gisborne Region,Household composition unidentifiable,"$50,001-$70,000",6,3,3,0,0,0,0,0,0,6,3
2023,05,Gisborne Region,Total - household composition,"$70,001-$100,000",942,219,150,180,165,129,60,24,9,933,9
2023,05,Gisborne Region,One-family household (with or without other people),"$70,001-$100,000",669,141,108,132,123,102,45,12,6,666,6
2023,05,Gisborne Region,Two-family household (with or without other people),"$70,001-$100,000",48,21,6,3,9,3,6,0,3,48,0
2023,05,Gisborne Region,Three or more family household (with or without other people),"$70,001-$100,000",3,0,0,3,3,0,0,0,0,3,0
2023,05,Gisborne Region,Other multi-person household,"$70,001-$100,000",96,21,15,21,21,9,6,0,0,93,0
2023,05,Gisborne Region,One-person household,"$70,001-$100,000",102,24,18,21,9,12,3,6,0,99,0
2023,05,Gisborne Region,Total stated - household composition,"$70,001-$100,000",918,204,150,177,159,129,60,24,6,912,6
2023,05,Gisborne Region,Household composition unidentifiable,"$70,001-$100,000",24,15,0,0,3,0,0,0,0,21,0
2023,05,Gisborne Region,Total - household composition,"$100,001-$150,000",984,192,105,180,219,159,87,21,12,975,9
2023,05,Gisborne Region,One-family household (with or without other people),"$100,001-$150,000",741,123,75,135,177,132,72,18,9,738,6
2023,05,Gisborne Region,Two-family household (with or without other people),"$100,001-$150,000",87,30,9,9,21,15,6,0,0,87,3
2023,05,Gisborne Region,Three or more family household (with or without other people),"$100,001-$150,000",3,3,0,0,0,0,0,0,0,3,0
2023,05,Gisborne Region,Other multi-person household,"$100,001-$150,000",102,15,9,27,21,12,12,3,3,102,3
2023,05,Gisborne Region,One-person household,"$100,001-$150,000",24,6,6,3,3,3,3,0,0,24,0
2023,05,Gisborne Region,Total stated - household composition,"$100,001-$150,000",960,180,102,174,216,159,87,21,12,951,9
2023,05,Gisborne Region,Household composition unidentifiable,"$100,001-$150,000",24,9,6,9,3,3,0,0,0,24,0
2023,05,Gisborne Region,Total - household composition,"$150,001-$200,000",360,45,39,63,63,66,48,18,15,360,3
2023,05,Gisborne Region,One-family household (with or without other people),"$150,001-$200,000",237,27,27,39,45,42,33,12,12,234,0
2023,05,Gisborne Region,Two-family household (with or without other people),"$150,001-$200,000",63,9,6,12,15,12,6,3,0,63,0
2023,05,Gisborne Region,Three or more family household (with or without other people),"$150,001-$200,000",6,3,0,0,0,3,0,0,0,6,0
2023,05,Gisborne Region,Other multi-person household,"$150,001-$200,000",33,0,0,6,3,9,9,3,0,33,0
2023,05,Gisborne Region,One-person household,"$150,001-$200,000",6,0,0,0,0,0,3,3,0,6,0
2023,05,Gisborne Region,Total stated - household composition,"$150,001-$200,000",339,42,33,60,63,63,48,18,15,339,0
2023,05,Gisborne Region,Household composition unidentifiable,"$150,001-$200,000",21,3,9,6,3,3,0,0,3,18,0
2023,05,Gisborne Region,Total - household composition,"$200,001 or more",261,30,27,42,54,51,30,12,15,258,6
2023,05,Gisborne Region,One-family household (with or without other people),"$200,001 or more",144,12,12,15,30,30,21,9,9,141,0
2023,05,Gisborne Region,Two-family household (with or without other people),"$200,001 or more",54,9,6,12,12,9,3,0,3,54,0
2023,05,Gisborne Region,Three or more family household (with or without other people),"$200,001 or more",12,3,0,3,3,6,0,0,0,12,0
2023,05,Gisborne Region,Other multi-person household,"$200,001 or more",33,9,3,3,3,3,6,3,0,33,0
2023,05,Gisborne Region,One-person household,"$200,001 or more",6,3,3,3,0,0,0,0,0,6,0
2023,05,Gisborne Region,Total stated - household composition,"$200,001 or more",249,30,24,36,51,45,30,12,15,246,6
2023,05,Gisborne Region,Household composition unidentifiable,"$200,001 or more",12,0,3,3,3,3,0,0,0,12,0
2023,05,Gisborne Region,Total - household composition,Total stated - total household income,5370,1599,762,954,879,579,330,111,72,5292,78
2023,05,Gisborne Region,One-family household (with or without other people),Total stated - total household income,3228,819,420,570,615,426,237,72,42,3198,30
2023,05,Gisborne Region,Two-family household (with or without other people),Total stated - total household income,309,96,36,39,60,42,24,6,6,306,3
2023,05,Gisborne Region,Three or more family household (with or without other people),Total stated - total household income,27,9,0,6,3,6,0,0,0,27,0
2023,05,Gisborne Region,Other multi-person household,Total stated - total household income,429,123,54,84,69,39,39,12,9,423,6
2023,05,Gisborne Region,One-person household,Total stated - total household income,1290,519,237,243,126,60,30,18,18,1248,42
2023,05,Gisborne Region,Total stated - household composition,Total stated - total household income,5280,1566,744,942,870,573,330,111,72,5205,75
2023,05,Gisborne Region,Household composition unidentifiable,Total stated - total household income,90,36,18,15,9,6,0,0,3,87,3
2023,05,Gisborne Region,Total - household composition,Not stated,429,120,72,99,48,36,24,9,6,414,15
2023,05,Gisborne Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,05,Gisborne Region,Household composition unidentifiable,Not stated,429,120,72,99,48,36,24,9,6,414,15
2023,06,Hawke's Bay Region,Total - household composition,Total - total household income,17874,4098,2097,2985,3462,2724,1446,465,258,17535,342
2023,06,Hawke's Bay Region,One-family household (with or without other people),Total - total household income,9366,1491,945,1446,2097,1839,987,297,147,9255,111
2023,06,Hawke's Bay Region,Two-family household (with or without other people),Total - total household income,618,138,72,78,108,105,63,36,15,615,6
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),Total - total household income,57,15,6,3,12,9,6,3,3,57,0
2023,06,Hawke's Bay Region,Other multi-person household,Total - total household income,1314,255,156,207,243,207,135,45,36,1284,30
2023,06,Hawke's Bay Region,One-person household,Total - total household income,4374,1590,681,876,648,276,108,33,39,4254,123
2023,06,Hawke's Bay Region,Total stated - household composition,Total - total household income,15729,3492,1860,2610,3108,2433,1302,417,240,15462,267
2023,06,Hawke's Bay Region,Household composition unidentifiable,Total - total household income,2145,603,237,375,354,291,144,51,18,2070,75
2023,06,Hawke's Bay Region,Total - household composition,"$20,000 or less",1464,642,162,234,192,108,42,15,21,1422,45
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$20,000 or less",519,165,51,75,102,69,27,12,9,507,12
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$20,000 or less",6,3,0,0,0,0,0,0,0,6,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Other multi-person household,"$20,000 or less",66,18,9,9,9,9,3,3,3,63,0
2023,06,Hawke's Bay Region,One-person household,"$20,000 or less",870,456,99,150,81,27,12,3,12,840,33
2023,06,Hawke's Bay Region,Total stated - household composition,"$20,000 or less",1461,642,162,234,195,105,42,15,21,1419,45
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$20,000 or less",3,0,0,0,0,0,0,0,0,3,0
2023,06,Hawke's Bay Region,Total - household composition,"$20,001-$30,000",1758,849,246,243,198,105,48,12,9,1704,57
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$20,001-$30,000",399,117,36,57,84,60,33,9,0,396,6
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$20,001-$30,000",6,3,0,0,0,3,0,0,0,6,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Other multi-person household,"$20,001-$30,000",48,24,3,9,6,3,3,0,0,48,0
2023,06,Hawke's Bay Region,One-person household,"$20,001-$30,000",1302,699,207,177,108,42,9,3,6,1254,48
2023,06,Hawke's Bay Region,Total stated - household composition,"$20,001-$30,000",1758,846,246,243,198,105,48,12,9,1704,57
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$20,001-$30,000",3,0,0,0,0,0,0,0,0,3,0
2023,06,Hawke's Bay Region,Total - household composition,"$30,001-$50,000",2517,708,408,501,450,267,84,24,18,2463,57
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$30,001-$50,000",1251,324,177,210,255,168,60,18,9,1224,24
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$30,001-$50,000",21,9,3,3,0,6,0,0,0,21,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$30,001-$50,000",0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Other multi-person household,"$30,001-$50,000",171,60,27,21,30,21,6,0,3,165,6
2023,06,Hawke's Bay Region,One-person household,"$30,001-$50,000",1053,303,198,261,165,72,18,9,9,1026,24
2023,06,Hawke's Bay Region,Total stated - household composition,"$30,001-$50,000",2499,696,402,501,450,267,84,24,18,2442,57
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$30,001-$50,000",21,12,3,0,3,0,0,0,0,21,0
2023,06,Hawke's Bay Region,Total - household composition,"$50,001-$70,000",2178,444,261,426,516,333,132,27,15,2148,27
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$50,001-$70,000",1281,273,126,222,306,231,93,15,6,1269,12
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$50,001-$70,000",39,18,6,0,3,9,3,0,3,39,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$50,001-$70,000",3,3,0,0,3,0,0,0,0,3,0
2023,06,Hawke's Bay Region,Other multi-person household,"$50,001-$70,000",192,48,24,36,39,24,12,0,3,189,6
2023,06,Hawke's Bay Region,One-person household,"$50,001-$70,000",633,93,105,165,162,66,18,12,3,624,9
2023,06,Hawke's Bay Region,Total stated - household composition,"$50,001-$70,000",2145,429,261,423,513,327,126,27,15,2121,24
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$50,001-$70,000",30,12,3,3,3,3,3,0,0,27,0
2023,06,Hawke's Bay Region,Total - household composition,"$70,001-$100,000",2709,399,318,492,666,507,210,48,27,2673,36
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$70,001-$100,000",1896,261,201,324,471,405,162,33,18,1878,21
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$70,001-$100,000",90,27,12,15,18,9,6,0,0,90,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$70,001-$100,000",0,0,0,0,0,0,0,0,0,0,0
2023,06,Hawke's Bay Region,Other multi-person household,"$70,001-$100,000",276,39,42,57,60,36,21,3,6,264,9
2023,06,Hawke's Bay Region,One-person household,"$70,001-$100,000",375,33,60,93,111,39,24,6,6,372,3
2023,06,Hawke's Bay Region,Total stated - household composition,"$70,001-$100,000",2637,363,315,489,657,495,207,48,27,2604,33
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$70,001-$100,000",72,39,6,6,9,9,0,3,0,69,0
2023,06,Hawke's Bay Region,Total - household composition,"$100,001-$150,000",3246,405,315,513,741,702,411,87,42,3213,27
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$100,001-$150,000",2535,252,237,396,612,579,336,72,33,2514,18
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$100,001-$150,000",168,48,24,21,30,27,12,3,0,165,0
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$100,001-$150,000",6,6,0,0,0,0,0,0,0,6,0
2023,06,Hawke's Bay Region,Other multi-person household,"$100,001-$150,000",297,42,27,45,63,63,39,9,3,294,3
2023,06,Hawke's Bay Region,One-person household,"$100,001-$150,000",102,6,6,24,21,18,18,0,3,99,3
2023,06,Hawke's Bay Region,Total stated - household composition,"$100,001-$150,000",3108,351,300,489,726,690,402,84,42,3084,24
2023,06,Hawke's Bay Region,Household composition unidentifiable,"$100,001-$150,000",138,54,15,24,15,12,9,3,0,132,3
2023,06,Hawke's Bay Region,Total - household composition,"$150,001-$200,000",1395,141,123,174,258,303,234,111,30,1377,21
2023,06,Hawke's Bay Region,One-family household (with or without other people),"$150,001-$200,000",960,69,81,120,183,219,174,87,21,951,12
2023,06,Hawke's Bay Region,Two-family household (with or without other people),"$150,001-$200,000",150,21,15,15,27,30,24,12,6,147,3
2023,06,Hawke's Bay Region,Three or more family household (with or without other people),"$150,001-$200,000",15,3,3,0,3,0,3,0,0,15,0
2023,06,Hawke's Bay Region,Other multi-person household,"$150,001-$200,000",147,12,9,21,27,33,27,9,3,141,3
